p,policy,shots,failures,ler,ci_low,ci_high,escalation_rate,silent_failures,unconverged_failures,escalated_failures,work_mean,work_p99,time_p50_us,time_p99_us
0.0004999999999999999,never,500,40,0.08,0.05929780247392154,0.1071068770920373,0.0,0,40,0,8.654,32.00999999999999,4122.050048828125,22711.475781249996
0.0004999999999999999,always,500,1,0.002,0.000353127309584542,0.011240992747195207,1.0,0,0,1,11.408,20.0,8341.10009765625,51407.48046874996
0.0004999999999999999,primary_fail,500,1,0.002,0.000353127309584542,0.011240992747195207,0.118,0,0,1,10.71,52.00999999999999,4276.400146484375,60631.908789062334
0.0004999999999999999,flag,500,1,0.002,0.000353127309584542,0.011240992747195207,0.44,0,0,1,9.884,38.01999999999998,5058.2998046875,55377.31855468745
0.0004999999999999999,flag_or_fail,500,1,0.002,0.000353127309584542,0.011240992747195207,0.44,0,0,1,9.884,38.01999999999998,5058.2998046875,55377.31855468745
0.0008218759147586127,never,500,92,0.184,0.15248894558374934,0.2203298133277816,0.0,0,92,0,14.28,41.01999999999998,6464.75,29226.745234374994
0.0008218759147586127,always,500,1,0.002,0.000353127309584542,0.011240992747195207,1.0,0,0,1,13.742,20.0,21965.900390625,58376.783984374975
0.0008218759147586127,primary_fail,500,1,0.002,0.000353127309584542,0.011240992747195207,0.3,0,0,1,19.602,61.01999999999998,7256.949951171875,78954.06363281248
0.0008218759147586127,flag,500,1,0.002,0.000353127309584542,0.011240992747195207,0.674,0,0,1,14.972,51.0,16121.599609375,64861.505468749994
0.0008218759147586127,flag_or_fail,500,1,0.002,0.000353127309584542,0.011240992747195207,0.674,0,0,1,14.972,51.0,16121.599609375,64861.505468749994
0.001350960038520613,never,500,200,0.4,0.35797823817783564,0.44354668552834503,0.0,0,200,0,24.574,61.01999999999998,12349.0,49949.30523437497
0.001350960038520613,always,500,12,0.024,0.013781177149521824,0.04147745969189818,1.0,0,0,12,16.868,20.0,34400.400390625,107111.63187499999
0.001350960038520613,primary_fail,500,11,0.022,0.01232788016714588,0.03896125514839773,0.564,0,0,11,35.274,81.01999999999998,38751.89892578125,136424.76617187494
0.001350960038520613,flag,500,12,0.024,0.013781177149521824,0.04147745969189818,0.868,0,0,12,19.606,59.00999999999999,34363.25,107615.20195312498
0.001350960038520613,flag_or_fail,500,12,0.024,0.013781177149521824,0.04147745969189818,0.868,0,0,12,19.606,59.00999999999999,34363.25,107615.20195312498
0.0022206430349229218,never,500,357,0.714,0.6728760546154563,0.7518606086533169,0.0,0,357,0,41.858,92.01999999999998,19061.5,55353.87976562499
0.0022206430349229218,always,500,36,0.072,0.05245772605354006,0.09806894740891321,1.0,0,0,36,18.946,20.0,30061.4501953125,156973.7392187496
0.0022206430349229218,primary_fail,500,36,0.072,0.05245772605354006,0.09806894740891321,0.854,0,0,36,58.68,112.01999999999998,52081.1005859375,191441.53689453087
0.0022206430349229218,flag,500,36,0.072,0.05245772605354006,0.09806894740891321,0.968,0,0,36,20.638,59.0,30789.25,156973.7392187496
0.0022206430349229218,flag_or_fail,500,36,0.072,0.05245772605354006,0.09806894740891321,0.968,0,0,36,20.638,59.0,30789.25,156973.7392187496
0.003650186051359237,never,500,469,0.938,0.9133397667805389,0.9559810673863897,0.0,0,469,0,68.926,130.01,28340.4501953125,61389.62519531246
0.003650186051359237,always,500,145,0.29,0.2519467539894188,0.3312555857935606,1.0,0,0,145,19.822,20.0,52618.69921875,285113.3284375
0.003650186051359237,primary_fail,500,145,0.29,0.2519467539894188,0.3312555857935606,0.988,0,0,145,88.57,150.01,83131.6494140625,326470.0974609375
0.003650186051359237,flag,500,145,0.29,0.2519467539894188,0.3312555857935606,1.0,0,0,145,20.658,61.00999999999999,53284.80078125,285113.3284375
0.003650186051359237,flag_or_fail,500,145,0.29,0.2519467539894188,0.3312555857935606,1.0,0,0,145,20.658,61.00999999999999,53284.80078125,285113.3284375
0.006000000000000003,never,500,494,0.988,0.9740692922810136,0.9944890800328247,0.0,0,494,0,107.602,164.02999999999997,37307.19921875,64885.9
0.006000000000000003,always,500,369,0.738,0.6977463146741062,0.7746243669051839,1.0,0,0,369,20.0,20.0,161470.546875,441941.2584374999
0.006000000000000003,primary_fail,500,369,0.738,0.6977463146741062,0.7746243669051839,1.0,0,0,369,127.602,184.02999999999997,198954.451171875,484763.44960937486
0.006000000000000003,flag,500,369,0.738,0.6977463146741062,0.7746243669051839,1.0,0,0,369,20.404,20.0,161470.546875,441941.2584374999
0.006000000000000003,flag_or_fail,500,369,0.738,0.6977463146741062,0.7746243669051839,1.0,0,0,369,20.404,20.0,161470.546875,441941.2584374999
