code,rounds,p,shots,seed,use_flags,osd_order,workers,policy,failures,ler,ci_low,ci_high,escalation_rate,silent_failures,unconverged_failures,escalated_failures,work_mean,work_p99,time_p50_us,time_p99_us
"[[144, 12, 12]]",6,0.001,49400,20260921,True,0,12,never,21130,0.42773279352226723,0.4233756484119519,0.43210117750354543,0.0,0,21130,0,35.868724696356274,84.0,31736.650390625,104220.04500000001
"[[144, 12, 12]]",6,0.001,49400,20260921,True,0,12,always,21,0.0004251012145748988,0.000278070072300488,0.0006498253810765628,1.0,0,0,21,18.63645748987854,20.0,679547.5625,880492.5106250008
"[[144, 12, 12]]",6,0.001,49400,20260921,True,0,12,primary_fail,21,0.0004251012145748988,0.000278070072300488,0.0006498253810765628,0.6443927125506073,0,0,21,48.42694331983806,104.0,658646.017578125,952817.1947656252
"[[144, 12, 12]]",6,0.001,49400,20260921,True,0,12,flag,21,0.0004251012145748988,0.000278070072300488,0.0006498253810765628,0.9422267206477732,0,0,21,20.29562753036437,60.0,677275.65625,882035.315625
"[[144, 12, 12]]",6,0.001,49400,20260921,True,0,12,flag_or_fail,21,0.0004251012145748988,0.000278070072300488,0.0006498253810765628,0.9422267206477732,0,0,21,20.29562753036437,60.0,677275.65625,882035.315625
