arm,failures,ler,ci_low,ci_high,detectors,faults
unflagged,500,0.022123893805309734,0.02028588124633015,0.02412433971363269,864,33552
"flagged, blind",692,0.030619469026548673,0.028451819594540954,0.032946664103911436,864,36144
"flagged, sighted",370,0.016371681415929203,0.014797486230905462,0.018110265166538415,1296,36144
