code,rounds,p,shots,seed,use_flags,osd_order,workers,policy,failures,ler,ci_low,ci_high,escalation_rate,silent_failures,unconverged_failures,escalated_failures,work_mean,work_p99,time_p50_us,time_p99_us
"[[72, 12, 6]]",6,0.001,500,20260921,True,0,12,never,126,0.252,0.21593322346148225,0.29184858732984587,0.0,0,126,0,17.77,55.059999999999945,8344.5498046875,40577.071562499994
"[[72, 12, 6]]",6,0.001,500,20260921,True,0,12,always,2,0.004,0.0010976075412372681,0.014466014041418871,1.0,0,0,2,15.5,20.0,25772.099609375,79040.11390624997
"[[72, 12, 6]]",6,0.001,500,20260921,True,0,12,primary_fail,2,0.004,0.0010976075412372681,0.014466014041418871,0.392,0,0,2,25.064,75.05999999999995,10080.75,104328.11302734374
"[[72, 12, 6]]",6,0.001,500,20260921,True,0,12,flag,2,0.004,0.0010976075412372681,0.014466014041418871,0.758,0,0,2,16.208,49.02999999999997,25259.0,79010.01390625
"[[72, 12, 6]]",6,0.001,500,20260921,True,0,12,flag_or_fail,2,0.004,0.0010976075412372681,0.014466014041418871,0.758,0,0,2,16.208,49.02999999999997,25259.0,79010.01390625
