arm,failures,ler,ci_low,ci_high,detectors,faults
unflagged,4,0.008,0.0031152647975077885,0.020387359836901122,432,15840
"flagged, blind",2,0.004,0.0010976075412372681,0.014466014041418871,432,17136
"flagged, sighted",2,0.004,0.0010976075412372681,0.014466014041418871,648,17136
