decoder,flagged_fraction,error_rate_flagged,error_rate_unflagged,risk_ratio,mutual_information_bits,share_of_failures_on_flagged
peel,0.89255,0.450338916587306,0.23871568171242438,1.8865074692906836,0.013437173697311025,0.9400140318054256
BP-ms-10,0.89255,0.6762086157638227,0.4830153559795254,1.3999733287827119,0.010902590136161981,0.9208177587916698
BP-ms-30,0.89255,0.610722088398409,0.41368078175895767,1.476312449907965,0.010893337098282937,0.924603511152574
BP-ps-30,0.89255,0.5244524116296005,0.2996742671009772,1.7500748953292105,0.01433832782383751,0.935638616829902
OSD-0,0.89255,0.00039213489440367486,0.0,inf,5.740892716310012e-05,1.0
OSD-CS4,0.89255,0.00016805781188728922,0.0,inf,2.4601219814544564e-05,1.0
LSD-0,0.89255,0.00039213489440367486,0.0,inf,5.740892716310012e-05,1.0
LSD-CS4,0.89255,0.00039213489440367486,0.0,inf,5.740892716310012e-05,1.0
