weak,strong,rule,failures,ler,escalation,silent,unconverged,catch,harm,worse,better,p,cost_us,breakeven,saving,ler_low,ler_high
peel,LSD-CS4,primary_fail,7,0.00035,0.6476,0,0,0,0,0,0,1.0,418082.7847843521,nan,0.0,0.00016955101329104707,0.0007223576688892798
peel,LSD-CS4,flag>=1,7,0.00035,0.9419,0,0,0,0,0,0,1.0,524579.1946983567,0.3297294269228615,-0.2547256519278487,0.00016955101329104707,0.0007223576688892798
peel,LSD-CS4,flag>=2,7,0.00035,0.83325,0,0,0,0,0,0,1.0,483977.28801551665,0.2846955988345347,-0.15761113738551336,0.00016955101329104707,0.0007223576688892798
peel,LSD-CS4,flag>=3,7,0.00035,0.73645,0,0,0,0,0,0,1.0,446576.8651908493,0.2342472976535726,-0.06815415856262641,0.00016955101329104707,0.0007223576688892798
peel,LSD-CS4,flag>=4,7,0.00035,0.68275,0,0,0,0,0,0,1.0,427792.40504458774,0.19056654920032537,-0.02322415706555314,0.00016955101329104707,0.0007223576688892798
peel,LSD-CS4,rounds>=2,7,0.00035,0.8162,0,0,0,0,0,0,1.0,477588.7088685562,0.280766028309742,-0.14233048154541295,0.00016955101329104707,0.0007223576688892798
peel,LSD-CS4,rounds>=3,7,0.00035,0.71045,0,0,0,0,0,0,1.0,437885.0532609421,0.229714912280702,-0.04736446751043344,0.00016955101329104707,0.0007223576688892798
peel,LSD-CS4,flag-only,520,0.026,0.89255,0,513,0,0,513,0,7.458340731200207e-155,498215.7371014572,0.2744384068119433,-0.191667667824299,0.023883861483393318,0.02829819538712299
BP-ms-10,OSD-0,primary_fail,7,0.00035,0.92695,0,0,0,0,0,0,1.0,857423.3823061408,nan,0.0,0.00016955101329104707,0.0007223576688892798
BP-ms-10,OSD-0,flag>=1,7,0.00035,0.981,0,0,0,0,0,0,1.0,643860.0443886848,0.06055683155005315,0.24907571023203545,0.00016955101329104707,0.0007223576688892798
BP-ms-10,OSD-0,flag>=2,7,0.00035,0.95545,0,0,0,0,0,0,1.0,698915.879607557,0.043704953228032466,0.18486491734370403,0.00016955101329104707,0.0007223576688892798
BP-ms-10,OSD-0,flag>=3,7,0.00035,0.93815,0,0,0,0,0,0,1.0,763359.2148130257,0.029528078038491924,0.10970562435575126,0.00016955101329104707,0.0007223576688892798
BP-ms-10,OSD-0,flag>=4,7,0.00035,0.9304,0,0,0,0,0,0,1.0,811349.0063639533,0.018704255895906494,0.05373585196413122,0.00016955101329104707,0.0007223576688892798
BP-ms-10,OSD-0,rounds>=2,7,0.00035,0.95215,0,0,0,0,0,0,1.0,711191.1231765022,0.041965029142381344,0.17054848531927114,0.00016955101329104707,0.0007223576688892798
BP-ms-10,OSD-0,rounds>=3,7,0.00035,0.93445,0,0,0,0,0,0,1.0,789403.8111671272,0.027412280701754208,0.07933020319094519,0.00016955101329104707,0.0007223576688892798
BP-ms-10,OSD-0,flag-only,1045,0.05225,0.89255,0,1038,0,0,1038,0,6.7903865311e-313,587355.88711222,-0.038541258192818444,0.31497565936158933,0.04925096595230436,0.05542100865481311
BP-ms-10,OSD-CS4,primary_fail,3,0.00015,0.92695,0,0,0,0,0,0,1.0,6539603.212445105,nan,0.0,5.101389475340828e-05,0.0004409716046718622
BP-ms-10,OSD-CS4,flag>=1,3,0.00015,0.981,0,0,0,0,0,0,1.0,6321961.303647962,0.06055683155005315,0.033280598489976,5.101389475340828e-05,0.0004409716046718622
BP-ms-10,OSD-CS4,flag>=2,3,0.00015,0.95545,0,0,0,0,0,0,1.0,6378811.975424794,0.043704953228032466,0.024587307791751112,5.101389475340828e-05,0.0004409716046718622
BP-ms-10,OSD-CS4,flag>=3,3,0.00015,0.93815,0,0,0,0,0,0,1.0,6444646.618130458,0.029528078038491924,0.014520237884454779,5.101389475340828e-05,0.0004409716046718622
BP-ms-10,OSD-CS4,flag>=4,3,0.00015,0.9304,0,0,0,0,0,0,1.0,6493219.821384217,0.018704255895906494,0.0070926919499672,5.101389475340828e-05,0.0004409716046718622
BP-ms-10,OSD-CS4,rounds>=2,3,0.00015,0.95215,0,0,0,0,0,0,1.0,6391319.590496961,0.041965029142381344,0.022674712384071705,5.101389475340828e-05,0.0004409716046718622
BP-ms-10,OSD-CS4,rounds>=3,3,0.00015,0.93445,0,0,0,0,0,0,1.0,6470926.494772107,0.027412280701754208,0.010501664312339898,5.101389475340828e-05,0.0004409716046718622
BP-ms-10,OSD-CS4,flag-only,1041,0.05205,0.89255,0,1038,0,0,1038,0,6.7903865311e-313,5759566.573409779,-0.038541258192818444,0.11927889410031611,0.049056584084007294,0.055215467340355116
BP-ms-10,LSD-0,primary_fail,7,0.00035,0.92695,0,0,0,0,0,0,1.0,736818.1420086799,nan,0.0,0.00016955101329104707,0.0007223576688892798
BP-ms-10,LSD-0,flag>=1,7,0.00035,0.981,0,0,0,0,0,0,1.0,522104.7492072884,0.06055683155005315,0.2914062243582246,0.00016955101329104707,0.0007223576688892798
BP-ms-10,LSD-0,flag>=2,7,0.00035,0.95545,0,0,0,0,0,0,1.0,577589.9960933968,0.043704953228032466,0.21610236887110656,0.00016955101329104707,0.0007223576688892798
BP-ms-10,LSD-0,flag>=3,7,0.00035,0.93815,0,0,0,0,0,0,1.0,642525.2047677864,0.029528078038491924,0.127973148141869,0.00016955101329104707,0.0007223576688892798
BP-ms-10,LSD-0,flag>=4,7,0.00035,0.9304,0,0,0,0,0,0,1.0,690653.6238341194,0.018704255895906494,0.06265388369606228,0.00016955101329104707,0.0007223576688892798
BP-ms-10,LSD-0,rounds>=2,7,0.00035,0.95215,0,0,0,0,0,0,1.0,589933.7710523324,0.041965029142381344,0.19934955802787113,0.00016955101329104707,0.0007223576688892798
BP-ms-10,LSD-0,rounds>=3,7,0.00035,0.93445,0,0,0,0,0,0,1.0,668602.3285254036,0.027412280701754208,0.0925816149115295,0.00016955101329104707,0.0007223576688892798
BP-ms-10,LSD-0,flag-only,1045,0.05225,0.89255,0,1038,0,0,1038,0,6.7903865311e-313,478364.44792535476,-0.038541258192818444,0.35076999241460116,0.04925096595230436,0.05542100865481311
BP-ms-10,LSD-CS4,primary_fail,7,0.00035,0.92695,0,0,0,0,0,0,1.0,782516.5378009651,nan,0.0,0.00016955101329104707,0.0007223576688892798
BP-ms-10,LSD-CS4,flag>=1,7,0.00035,0.981,0,0,0,0,0,0,1.0,568295.1912299935,0.06055683155005315,0.27375951334265514,0.00016955101329104707,0.0007223576688892798
BP-ms-10,LSD-CS4,flag>=2,7,0.00035,0.95545,0,0,0,0,0,0,1.0,623593.0924465462,0.043704953228032466,0.2030927624878408,0.00016955101329104707,0.0007223576688892798
BP-ms-10,LSD-CS4,flag>=3,7,0.00035,0.93815,0,0,0,0,0,0,1.0,688360.5821589485,0.029528078038491924,0.1203245568542417,0.00016955101329104707,0.0007223576688892798
BP-ms-10,LSD-CS4,flag>=4,7,0.00035,0.9304,0,0,0,0,0,0,1.0,736396.5912293342,0.018704255895906494,0.05893798321660726,0.00016955101329104707,0.0007223576688892798
BP-ms-10,LSD-CS4,rounds>=2,7,0.00035,0.95215,0,0,0,0,0,0,1.0,635926.328495179,0.041965029142381344,0.18733177156579373,0.00016955101329104707,0.0007223576688892798
BP-ms-10,LSD-CS4,rounds>=3,7,0.00035,0.93445,0,0,0,0,0,0,1.0,714403.3184814582,0.027412280701754208,0.08704380805921275,0.00016955101329104707,0.0007223576688892798
BP-ms-10,LSD-CS4,flag-only,1045,0.05225,0.89255,0,1038,0,0,1038,0,6.7903865311e-313,519874.70407911454,-0.038541258192818444,0.3356374223858949,0.04925096595230436,0.05542100865481311
BP-ms-30,OSD-0,primary_fail,7,0.00035,0.87205,0,0,0,0,0,0,1.0,1267814.181598156,nan,0.0,0.00016955101329104707,0.0007223576688892798
BP-ms-30,OSD-0,flag>=1,7,0.00035,0.9703,0,0,0,0,0,0,1.0,679536.1672991813,0.11007786678617451,0.4640096497086149,0.00016955101329104707,0.0007223576688892798
